Casos Covid,Tem. Media,Gasto Medio,cluster,Grupo
177644,20.14,160,Cluster 1,Barcelona-2022-6-1
86494,24.67,274,Cluster 1,Madrid-2022-8-2
88708,26.38,268,Cluster 1,Madrid-2022-8-1
139721,26.6,256,Cluster 1,Madrid-2022-7-2
77946,26.18,245,Cluster 1,Madrid-2022-7-1
72108,23.69,236,Cluster 1,Madrid-2022-6-2
75772,20.17,225,Cluster 1,Madrid-2022-6-1
202880,24.28,164,Cluster 1,Barcelona-2022-7-1
181212,23.99,159,Cluster 1,Barcelona-2022-8-2
183761,25.41,157,Cluster 1,Barcelona-2022-8-1
312793,24.89,166,Cluster 1,Barcelona-2022-7-2
23261,19.68,160,Cluster 1,Girona-2022-6-1
180192,22.78,166,Cluster 1,Barcelona-2022-6-2
27034,26.45,184,Cluster 2,Mallorca-2022-8-2
8820,23.22,116,Cluster 2,Sevilla-2022-6-1
8139,23.85,123,Cluster 2,Sevilla-2022-6-2
8098,25.77,121,Cluster 2,Sevilla-2022-7-1
15841,28.45,124,Cluster 2,Sevilla-2022-7-2
91383,26.07,112,Cluster 2,Valencia-2022-7-2
28179,27.78,185,Cluster 2,Mallorca-2022-8-1
8897,28.04,123,Cluster 2,Sevilla-2022-8-2
51316,21.22,104,Cluster 2,Valencia-2022-6-1
53188,23.98,107,Cluster 2,Valencia-2022-6-2
58691,25.45,110,Cluster 2,Valencia-2022-7-1
11108,28.53,121,Cluster 2,Sevilla-2022-8-1
43960,27.23,187,Cluster 2,Mallorca-2022-7-2
9779,27.89,121,Cluster 2,Malaga-2022-7-1
23595,24.99,164,Cluster 2,Mallorca-2022-6-2
23798,22.09,153,Cluster 2,Mallorca-2022-6-1
8788,25.28,123,Cluster 2,Malaga-2022-8-2
10620,26.34,121,Cluster 2,Malaga-2022-8-1
19988,28.12,124,Cluster 2,Malaga-2022-7-2
55446,26.72,105,Cluster 2,Valencia-2022-8-1
7145,27.09,123,Cluster 2,Malaga-2022-6-2
7277,26.26,116,Cluster 2,Malaga-2022-6-1
23602,23.46,159,Cluster 2,Girona-2022-8-2
23620,25.38,157,Cluster 2,Girona-2022-8-1
39452,24.59,166,Cluster 2,Girona-2022-7-2
25169,24.23,164,Cluster 2,Girona-2022-7-1
23078,22.86,166,Cluster 2,Girona-2022-6-2
26243,26.65,179,Cluster 2,Mallorca-2022-7-1
54292,25.6,107,Cluster 2,Valencia-2022-8-2
